name,location,description,rating,url,wikiUrl,
Arabian Suites,"Amman
","Just a 1.2 mi away from The Roman Theater in downtown, Arabian Suites is located in Abdali Street, a short walking distance to Abdali Boulevard, the very new and ostentatious district of Amman.",9,https://www.booking.com/hotel/jo/arabia-suites.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=11&hpos=11&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&bhgwe_bhr=0&from=searchresults,highlight_room=#hotelTmpl,
Larsa Hotel,"Amman
",Larsa Hotel is characterized by its special location and panoramic view.It is close to the tourism and commercial sites in the Capital Amman, it is characterized by its affordable prices.,8.1,https://www.booking.com/hotel/jo/larsa.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=12&hpos=12&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl
Khuttar Apartment,"Amman
",Khuttar Apartment is located in Swefieh and offers self-catering accommodations. Free Wi-Fi access is available. The property is 2.5 mi from Grand Cinema and City Mall .,8.9,https://www.booking.com/hotel/jo/gulf-gate-apartment.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=13&hpos=13&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&bhgwe_bhr=0&from=searchresults,highlight_room=#hotelTmpl,
Shams Alweibdeh Hotel Apartments,"Amman
","Located in Amman, Shams Alweibdeh Hotel Apartments has accommodations with free WiFi and a garden with an outdoor swimming pool.",9,https://www.booking.com/hotel/jo/shqq-shms-llwybdh.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=14&hpos=14&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&bhgwe_bhr=0&from=searchresults,highlight_room=#hotelTmpl,
Sulaf Luxury Hotel,"Amman
","Featuring a fitness center and free WiFi, Sulaf Luxury Hotel is located in Amman. The property is around 3.6 miles from Al Hussein National Park and 3.9 miles from Royal Automobiles Museum.",8.6,https://www.booking.com/hotel/jo/sulaf-luxury.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=15&hpos=15&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
La Locanda Boutique Hotel,"Amman
","La Locanda Boutique Hotel is located on Jebel Webdeh Hill, a charming residential area in central Amman. It features simple rooms with private balconies and bathrooms. It also offers a restaurant.",8.9,https://www.booking.com/hotel/jo/select.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=16&hpos=16&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Suzan Studios & Apartments,"Amman
","Offering a barbecue and terrace, Suzan Studios & Apartments is located in Amman in the area of ​​Swefieh next to Istiqlal bookstore and opposite Midtown Plaza. US Embassy is 1.2 mi away.",8.7,https://www.booking.com/hotel/jo/suzan.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=17&hpos=17&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&bhgwe_bhr=0&from=searchresults,highlight_room=#hotelTmpl,
Le Grand Amman Managed by ACCOR,"Amman
","This 5-star hotel in the heart of Amman is located in the Shmeisani commercial district. It has indoor and outdoor pools, a gym and spa facilities.",8.4,https://www.booking.com/hotel/jo/le-meridien-amman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=18&hpos=18&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Easy Inn Hotel Suites,"Amman
","Easy Inn Hotel Suites is located in the middle of Wasfi Al Tal Street in the Gardens area, in the heart of Amman.",8.3,https://www.booking.com/hotel/jo/easy-inn-suites.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=19&hpos=19&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Gardenia Hotel,"Amman
","Gardenia Hotel is located in the Shmeissani area of Amman, less than 5-minutes’ walk from Safeway. It offers free WiFi access and an outdoor swimming pool.",8.3,https://www.booking.com/hotel/jo/gardenia.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=20&hpos=20&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Fairmont Amman,"Amman
","Ideally located on the Firth circle and within walking distance of Abdoun, the five-star deluxe Fairmont Amman hotel offers contemporary design and unparalleled views of the stunning Amman hills.",9,https://www.booking.com/hotel/jo/fairmont-amman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=21&hpos=21&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
