hotel,hotelLabel,country,countryLabel
http://www.wikidata.org/entity/Q11815552,Q11815552,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q11830244,Przystań Bydgoszcz,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q11832868,Q11832868,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q11854867,Calliola Conference & Event Center,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q11861763,Hay–Adams Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q11863311,House at the Golden Well,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q11863538,Q11863538,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q11863663,Hotel Otava,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q11863664,Hotel Seurahuone,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q11863665,Hotel Vaakuna,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q11878340,Elm Place,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q11894019,Original Sokos Hotel Presidentti,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q11897038,Q11897038,http://www.wikidata.org/entity/Q191,Estonia
http://www.wikidata.org/entity/Q11930732,Q11930732,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q11959640,Q11959640,,
http://www.wikidata.org/entity/Q11962310,Q11962310,,
http://www.wikidata.org/entity/Q11962492,Brøndums Hotel,http://www.wikidata.org/entity/Q35,Denmark
http://www.wikidata.org/entity/Q11965879,Q11965879,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q11969212,Q11969212,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q11972232,Q11972232,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q11975414,Q11975414,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q11975892,Q11975892,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q11975894,Q11975894,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q11983908,Q11983908,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q11997753,Scandic Meyergården hotel,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q12001878,Q12001878,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q12003571,Q12003571,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q12006137,Q12006137,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q12006188,Thorbjørnrud Hotell,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q12010051,Q12010051,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q12011152,Zanzibar Inn,,
http://www.wikidata.org/entity/Q12018430,Q12018430,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12018440,Grandhotel a Okresní dům (Pardubice),http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020398,Hotel Avion,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020400,Hotel DUM,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020402,Q12020402,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020403,Hotel Excelsior,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020405,Hotel Olympik,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020406,Hotel Moskva (Zlín),,
http://www.wikidata.org/entity/Q12020407,Hotel Otava (Písek),http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020408,Hotel Santon,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020409,Hotel Praha,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020416,Hotel Paris Prague,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12020417,Q12020417,,
http://www.wikidata.org/entity/Q12031800,Chateau Krč,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12043602,Q12043602,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12043831,Park Inn Hotel Prague,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q12053248,Bolgatty Palace,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q12053547,Brickskeller,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12059576,Harrah's New Orleans,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12060135,Hotel Texas,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12060422,Hollywood Studio Club,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12060515,Hong Kong Gold Coast Hotel,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q12060519,Hong Kong SkyCity,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q12060551,"Hotel Grand Chancellor, Hobart",http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q12060552,Hotel McAlpin,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12060553,Hotel Windsor,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q12060663,Ice Hotel (Quebec),http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q12060753,InterContinental Boston,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12060754,InterContinental Hanoi Landmark 72,http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q12060887,John Jacob Astor Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12061086,Lalitha Mahal,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q12061439,"Magnolia Hotel (Dallas, Texas)",http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12061800,Miller Tavern,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q12064333,Norbreck Castle Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q12065515,Penally Abbey,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q12069409,Sofitel Macau At Ponte 16,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q12071426,Q12071426,,
http://www.wikidata.org/entity/Q12072758,Westin Book Cadillac Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12072760,The Westin Dragonara,http://www.wikidata.org/entity/Q233,Malta
http://www.wikidata.org/entity/Q12073401,Young's Hotel (Boston),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q12101347,Dnipro,http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q7593472,St James's Hotel and Club,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7595994,Stacy's Tavern,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7596584,Staffelter Hof,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q7596589,Stafford's Bay View Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7596801,Stage House Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7596850,Stagecoach Hotel & Casino,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7596851,Stagecoach Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7596852,Stagecoach Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7596854,Stagecoach Inn of Chappell Hill,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7597162,Stakis Hotels,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7598249,Standard House,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7598736,Stanford Court Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7600747,"Star Hotel, Great Yarmouth",http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7600789,Star Lite Motel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7601199,"Star and Garter Hotel, Richmond",http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7601898,Starhotels Anderson,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q7603938,Stateline Casino,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7615694,Stewart's Tavern,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7618808,Ston Easton Park,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7619039,Stone Tavern at Roney's Point,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7619238,Stonehouse Court Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7619366,Stonewall Jackson Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7619655,Stoops Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7620336,Storrs Hall,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7621231,Strand Hotel,http://www.wikidata.org/entity/Q836,Myanmar
http://www.wikidata.org/entity/Q7621234,Strand Palace Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7622700,Streamline Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7637644,Summers Hotel and Subway Lounge,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7637816,Summit Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7641161,Sunriver Resort,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7641311,Sunset Marquis Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7641354,Sunset Station,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7641361,Sunset Tower,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7643550,Superior Oil Company Building,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7653101,Swallow Hotels,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7656140,Swiftwater Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7659593,Sycamore Mineral Springs Resort,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7660934,Sylvia Hotel,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q7672536,TWELVE Midtown,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7675193,Tage Inn,,
http://www.wikidata.org/entity/Q7676700,Taj Boston,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7676703,Taj Connemara,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q7676704,Taj Coromandel,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q7676722,"Taj Mahal Hotel, Delhi",http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q7679734,Talkeetna Roadhouse,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7682002,Tan-Tar-A Resort,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7683435,Tanjung Sanctuary,,
http://www.wikidata.org/entity/Q7684304,Taos Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7686598,Tarpon Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7687099,Tasburgh House Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7691912,Teatro Fox Delicias,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7697590,Teller House,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7699323,Ten Square,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7699363,10 Trinity Square,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7702691,Terminal Station,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7703345,Terre Haute House,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7703645,Terrible's Hotel and Casino,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7704023,Terry-Ketcham Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7707556,Texas Chainsaw House,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7710179,Thanda Safari,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q7711545,Thayer Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7712100,The Abbey Resort,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7712174,The Academy,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7712376,The Address the BLVD,http://www.wikidata.org/entity/Q878,United Arab Emirates
http://www.wikidata.org/entity/Q7712949,The Aitutaki Lagoon Resort & Spa,http://www.wikidata.org/entity/Q664,New Zealand
http://www.wikidata.org/entity/Q7712995,The Albannach,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7713701,The Andover Inn,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7714011,The Apple Farm,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7714569,The Artisan Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7714622,The Arusha Hotel,http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q7714783,The Athenaeum Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7714805,The Atlantic Club Casino Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7715483,The Balsams Grand Resort Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7715825,The Battle House Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7716157,Beaufort Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7716429,The Bellevue-Stratford Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7716552,The Berkeley,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7719548,The Bowery House,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7719898,The Brazilian Court,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7720151,The Brinkerhoff,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7720219,The Broadmoor,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7720465,The Buchanan Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7720551,"The Bull Hotel, Cambridge",http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7720553,"The Bull Hotel, Peterborough",http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7720783,The Butler Arms Hotel,,
http://www.wikidata.org/entity/Q7720948,The Cairo,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7721791,The Cavendish Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7721800,The Cecil,,
http://www.wikidata.org/entity/Q7722033,The Chamberlin,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7722278,The Chedi Muscat,http://www.wikidata.org/entity/Q842,Oman
http://www.wikidata.org/entity/Q7723185,The City Rooms,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7728011,The Creek South Beach,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7728223,The Crown,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7728492,The Curtis,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7729103,The Davenport Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7730193,The Diller Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7731184,The Duke of Edinburgh Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7731239,The Dupont Circle Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7731577,The Edgewater,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7731964,The Empress Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q17536084,"The King's Arms Hotel, With Camilla",http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17536531,Red Lion Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17536553,The Royalist Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17536678,White Hart Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17536970,King's Head Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17537538,The Manor Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17537827,Booth Hall Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17537984,Old Court Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17538563,Buckland Manor Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17538615,The De La Bere Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17538636,"Bell Hotel, 52 Church St",http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17538735,Hotel Hesperia Bilbao,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q17538946,The Cedars Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17538969,The Feathers Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539054,Gaskell Arms Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539063,Jessop House Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539234,The Limes Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539288,Tudor Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539383,Dolphin Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539408,The White Horse Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539521,The Three Swans Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q17539911,The Grosvenor Arms Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
